numero;sage_ref;quantite
DE00092;PMP-HAY-SP075;1
DE00092;VNE-PVC-D50;2
DE00092;TUB-PVC-D50;4
DE00095;PMP-PEN-U220;1
DE00095;FLT-AST-D750;1
DE00095;VNE-AST-6V20;1
DE00095;TUB-PVC-D90;10
DE00097;ELC-ZOD-EXO;1
DE00097;REG-ZOD-PH;1
DE00099;BCH-SOL-500;50
DE00099;CFR-CCE-P;1
DE00101;SBL-SIL-25;4
DE00101;VNE-AST-6V15;1
DE00103;PMP-PEN-U220;2
DE00103;FLT-AST-D750;2
DE00103;VNE-AST-6V20;2
DE00103;TUB-PVC-D90;16
DE00105;PRJ-SEA-LED;2
DE00105;CFR-CCE-P;1
DE00106;SKM-HAY-SL;6
DE00106;BSE-HAY-RF;12
DE00106;TUB-PVC-D50;20
DE00106;VNE-PVC-D50;6
DE00108;PMP-DAB-E150;1
DE00108;FLT-AST-D600;1
DE00108;VNE-AST-6V20;1
DE00110;RBT-ZOD-CNX;1
DE00110;BCH-SOL-500;32
DE00111;VRF-VID-20;4
DE00111;VNE-AST-6V15;1
DE00113;ELC-ZOD-EXO;1
DE00113;REG-ZOD-PH;1
DE00114;PMP-HAY-SP050;1
DE00114;FLT-AST-D500;1
DE00114;SKM-AST-BE;2
DE00114;BSE-AST-RF;4
DE00114;TUB-PVC-D63;8
DE00114;VNE-PVC-D63;3
DE00115;RBT-ZOD-CNX;1
DE00115;PRJ-SEA-LED;4
DE00117;PMP-ESP-S025;1
DE00117;FLT-AST-D400;1
DE00117;VNE-PVC-D50;2
DE00117;TUB-PVC-D50;6
DE00118;PMP-HAY-SP033;1
DE00118;FLT-AST-D400;1
DE00118;SKM-AST-BE;2
DE00118;BSE-AST-RF;2
DE00118;TUB-PVC-D63;6
DE00120;BCH-SOL-500;45
DE00121;VNE-AST-6V20;2
DE00121;VNE-PVC-D63;8
DE00121;TUB-PVC-D75;12
DE00121;TUB-PVC-D90;8
DE00122;ELC-ZOD-EXO;1
DE00123;TUB-PVC-D50;30
DE00123;TUB-PVC-D63;20
DE00123;TUB-PVC-D75;10
DE00124;CFR-CCE-P;2
DE00124;PRJ-SEA-LED;2
DE00125;SBL-SIL-25;6
DE00125;BSE-HAY-RF;2
